2023-08-04 15:10:52.687 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-08-04 15:10:52.724 INFO  c.p.workshop.WorkshopApplication - Starting WorkshopApplication using Java 19.0.2 on Dwiputra with PID 14440 (C:\Workspace\pendataan-himatika\Back-end Service\workshop\target\classes started by dwipu in C:\Workspace\pendataan-himatika)
2023-08-04 15:10:52.726 INFO  c.p.workshop.WorkshopApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-04 15:10:52.942 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-08-04 15:10:52.943 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-08-04 15:10:56.886 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-08-04 15:10:57.283 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 364 ms. Found 7 JPA repository interfaces.
2023-08-04 15:11:01.170 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-08-04 15:11:01.337 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-08-04 15:11:01.338 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-04 15:11:01.339 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
2023-08-04 15:11:01.939 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-04 15:11:01.939 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 8995 ms
2023-08-04 15:11:02.770 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-08-04 15:11:02.963 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.14.Final
2023-08-04 15:11:03.699 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-08-04 15:11:03.948 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-08-04 15:11:04.355 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-08-04 15:11:04.391 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2023-08-04 15:11:06.839 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-08-04 15:11:06.857 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-04 15:11:08.845 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-08-04 15:11:09.305 INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5cbbc7b0, org.springframework.security.web.context.SecurityContextPersistenceFilter@7b6445ba, org.springframework.security.web.header.HeaderWriterFilter@57414b22, org.springframework.security.web.authentication.logout.LogoutFilter@75327e54, org.springframework.security.web.session.ConcurrentSessionFilter@68d0e0cd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@22f0c2d0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2dfc67a3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7e8e7abc, org.springframework.security.web.session.SessionManagementFilter@661e0ce1, org.springframework.security.web.access.ExceptionTranslationFilter@25ccbb0d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@26b6d2f8]
2023-08-04 15:11:10.660 WARN  o.s.b.d.a.OptionalLiveReloadServer - Unable to start LiveReload server
2023-08-04 15:11:10.690 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2023-08-04 15:11:10.731 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2023-08-04 15:11:10.755 INFO  c.p.workshop.WorkshopApplication - Started WorkshopApplication in 19.483 seconds (JVM running for 21.012)
2023-08-04 15:11:33.496 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-08-04 15:11:33.504 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-08-04 15:11:33.608 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-08-04 15:12:43.827 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-08-04 15:12:43.861 INFO  c.p.workshop.WorkshopApplication - Starting WorkshopApplication using Java 19.0.2 on Dwiputra with PID 27820 (C:\Workspace\pendataan-himatika\Back-end Service\workshop\target\classes started by dwipu in C:\Workspace\pendataan-himatika)
2023-08-04 15:12:43.863 INFO  c.p.workshop.WorkshopApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-04 15:12:44.039 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-08-04 15:12:44.039 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-08-04 15:12:46.377 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-08-04 15:12:46.645 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 243 ms. Found 7 JPA repository interfaces.
2023-08-04 15:12:48.816 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-08-04 15:12:48.841 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-08-04 15:12:48.842 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-04 15:12:48.843 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
2023-08-04 15:12:49.103 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-04 15:12:49.103 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5060 ms
2023-08-04 15:12:49.589 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-08-04 15:12:49.728 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.14.Final
2023-08-04 15:12:50.250 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-08-04 15:12:50.550 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-08-04 15:12:50.926 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-08-04 15:12:50.980 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2023-08-04 15:12:53.270 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-08-04 15:12:53.285 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-04 15:12:55.085 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-08-04 15:12:55.530 INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@38a0f4a4, org.springframework.security.web.context.SecurityContextPersistenceFilter@4bdc3e9e, org.springframework.security.web.header.HeaderWriterFilter@31e22873, org.springframework.security.web.authentication.logout.LogoutFilter@66605b22, org.springframework.security.web.session.ConcurrentSessionFilter@230ed91b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7a83356f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@145a61b7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5da2ad6, org.springframework.security.web.session.SessionManagementFilter@59c65c15, org.springframework.security.web.access.ExceptionTranslationFilter@1a7fbd68, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@14d0e64]
2023-08-04 15:12:56.575 INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-08-04 15:12:56.606 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2023-08-04 15:12:56.653 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2023-08-04 15:12:56.682 INFO  c.p.workshop.WorkshopApplication - Started WorkshopApplication in 14.204 seconds (JVM running for 16.032)
2023-08-04 15:13:02.898 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-08-04 15:13:02.914 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-08-04 15:13:02.986 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-08-04 15:14:31.726 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-08-04 15:14:31.742 INFO  c.p.workshop.WorkshopApplication - Starting WorkshopApplication using Java 19.0.2 on Dwiputra with PID 18692 (C:\Workspace\pendataan-himatika\Back-end Service\workshop\target\classes started by dwipu in C:\Workspace\pendataan-himatika)
